cost,distance,score,tagId,like
453,19818,40,10,1
161,9159,45,0,1
46,22494,35,0,0
200,19065,40,10,1
318,3419,40,10,1
57,21152,40,0,0
141,16938,30,0,0
69,9924,45,0,0
170,21942,35,0,1
72,19192,45,0,0
6000,15052,45,1,1
52,21271,35,0,0
317,4978,45,10,1
378,18748,40,0,0
205,13263,45,10,1
2002,24679,45,1,0
76,9800,45,0,0
192,10219,40,0,1
290,3869,40,10,1
183,2494,50,0,1
407,9737,40,10,1
310,5973,45,10,1
188,12330,35,0,1
52,7897,35,0,0
126,21094,45,0,0
190,21315,35,0,1
1308,24900,40,10,1
60,13303,40,0,0
8431,17744,35,1,0
14220,19266,45,1,1
281,10950,35,10,1
154,22308,45,0,1
142,27785,35,0,0
108,21385,35,0,0
179,9572,40,0,1
230,19117,45,10,1
200,8367,45,10,1
167,22419,40,0,0
224,13857,35,10,1
384,9549,40,10,1
47,21518,35,0,0
9632,8828,45,1,0
1168,21698,50,1,1
6870,5011,45,1,0
824,25519,45,10,1
137,24583,30,0,0
124,10251,35,0,0
92,12369,40,0,0
31,8317,45,0,0
124,10423,35,0,0
147,39725,35,0,0
156,19357,40,0,0
234,27608,35,10,0
238,4614,40,10,1
312,22791,40,10,1
200,22599,35,10,1
41,1973,40,0,0
78,3288,40,0,0
7902,15945,50,1,1
40,9841,40,0,0
1200,1007,40,0,0
129,10066,0,0,0
588,20147,50,0,0
399,18578,50,0,0
189,33670,45,0,0
1000,12734,50,0,0
450,29559,40,0,0
305,25225,50,0,0
468,12463,40,0,1
52,23721,35,0,0
598,14731,45,0,0
600,4298,0,0,0
488,22669,35,0,0
198,9878,50,0,1
220,10209,20,0,0
318,25405,40,0,0
368,3648,40,0,1
288,25420,45,0,0
198,9564,50,0,1
207,7122,40,0,0
1110,3904,50,0,0
428,6209,40,0,0
300,22236,50,0,0
2100,3697,40,0,0
680,8419,50,0,1
288,19278,40,0,1
138,36734,35,0,0
199,3882,45,0,0
588,11930,50,0,0
498,21988,40,0,0
198,19285,40,0,0
1080,13292,35,0,1
1800,18990,50,0,0
298,10248,45,0,1
108,4721,35,0,0
198,17416,45,0,0
399,8199,50,0,0
580,8756,45,0,0
458,17185,50,0,0
622,14390,50,0,1
0,9450,35,0,0
0,23267,35,0,0
173,22202,45,0,0
1280,4743,45,0,0
0,19073,40,0,0
690,8183,45,0,0
1050,8248,35,0,0
168,23084,40,0,0
568,5858,45,0,1
1800,21908,50,0,0
0,14425,40,0,0
0,5630,40,0,0
0,8886,45,0,0
580,8921,45,0,0
0,25477,0,0,0
498,19120,35,0,0
0,5172,35,0,0
0,22558,35,0,0
0,12008,45,0,0
0,18848,35,0,0
0,9232,40,0,0
0,9748,35,0,0
0,21768,45,0,0
199,11058,45,0,0
0,16745,40,0,0
399,12071,40,0,0
199,11848,40,0,0
0,14051,40,0,0
0,22102,50,0,0
0,8727,50,0,0
0,15126,50,0,0
429,2096,45,0,0
0,13341,40,0,0
9999,1391711,40,0,0
100,2096,45,0,0
30,8773,0,0,0
0,17787,35,0,0
0,20329,35,0,0
0,28260,35,0,0
0,17760,45,0,0
11999,1865514,50,0,0
